Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
57.98,78.28,4.98,92.92,56.73,58.59,12.28,59.11,76.58,36.57,15.85,14.75
81.07,17.26,47.32,27.47,74.25,59.66,74.94,26.96,38.74,6.27,45.59,12.82
32.75,15.22,36.9,65.12,75.22,76.72,39.36,98.25,89.53,12.45,40.56,80.8
31.49,96.55,79.06,8.99,3.19,84.75,10.05,28.47,90.4,97.34,85.71,98.39
87.15,77.61,78.19,87.14,74.36,17.62,74.89,11.75,28.26,10.23,96.56,57.94
56.78,43.27,68.75,5.63,11.66,73.68,54.84,38.29,17.36,92.47,29.49,7.82
17.54,62.0,64.01,53.5,33.37,76.14,47.27,15.43,87.47,66.08,85.51,2.45
22.57,6.88,68.21,19.14,24.49,21.21,40.95,26.69,28.09,86.11,19.07,43.66
39.97,14.73,36.23,15.32,13.06,85.29,21.12,74.9,3.55,89.66,99.97,37.37
79.16,9.38,70.53,89.05,79.44,69.96,79.97,69.96,47.55,52.64,1.57,17.03
80.15,4.78,93.9,76.65,87.45,61.33,76.48,97.7,55.31,0.94,63.96,41.2
70.73,88.43,7.95,47.0,84.79,84.84,0.32,78.19,79.37,93.94,91.36,57.13
21.65,93.17,56.01,95.06,18.4,69.89,16.24,28.12,22.45,60.47,48.46,50.0
58.76,44.57,64.83,79.76,62.54,72.4,30.72,52.92,3.07,79.27,4.14,49.68
78.12,67.84,7.22,6.84,69.01,33.33,99.02,85.09,54.99,81.06,5.91,45.52
67.37,4.75,54.85,80.81,19.46,78.3,9.14,44.38,30.16,50.2,13.43,70.29
0.08,18.1,49.55,88.28,48.6,14.34,24.21,20.96,77.63,4.18,49.31,21.24
5.28,35.65,36.83,64.69,53.28,7.72,72.03,27.99,47.94,94.16,34.56,92.51
92.24,95.8,23.6,37.39,78.44,25.74,37.0,99.25,57.25,71.88,61.24,57.33
99.5,60.06,1.35,37.23,16.79,98.02,6.9,86.22,15.85,39.57,26.34,34.17
46.54,46.47,1.77,23.11,67.77,75.06,53.2,10.1,8.76,28.79,75.81,44.77
18.8,23.26,30.87,74.92,88.54,77.95,57.74,27.63,35.29,69.13,74.84,39.58
28.3,56.31,9.54,95.87,0.23,82.1,7.85,0.08,3.16,58.52,2.99,50.24
73.08,27.87,57.84,50.45,80.11,60.98,16.81,89.66,92.82,11.53,19.37,89.37
21.49,46.83,57.34,92.22,19.82,7.25,49.26,46.94,39.68,99.07,42.03,45.75
31.6,16.83,51.68,52.27,95.86,56.81,32.99,56.16,86.44,9.18,8.19,54.33
15.5,8.24,20.88,42.43,62.09,24.67,59.35,2.72,27.73,55.34,1.63,7.96
63.33,22.82,3.92,36.96,38.83,80.61,84.55,10.69,81.04,42.24,74.54,35.94
91.72,,44.22,36.8,33.53,4.82,7.39,63.86,45.41,48.4,39.0,60.76
19.55,,19.39,13.26,62.43,64.41,36.0,5.72,75.47,25.32,45.69,53.67
7.42,,36.39,,51.6,,40.92,18.18,,90.06,,37.78
